soil_type,soil_name,sequence_id,timestep,moisture,temperature,pH,nitrogen,phosphorus,potassium,organic_matter
0,Alluvial,0,0,0.6749080237694725,29.50714306409916,7.231993941811405,0.779597545259111,0.5468055921327309,0.6467983561008608,0.7116167224336398
0,Alluvial,0,1,0.8683408807845024,26.011150117432088,7.208072577796045,0.6537281741034985,0.7909729556485983,0.8497327922401265,0.7709995176245098
0,Alluvial,0,2,0.6951435186706675,21.83404509853434,6.804242242959537,0.7868161921042951,0.6295835055926348,0.6873687420594126,0.84000413651325
0,Alluvial,0,3,0.569120246901161,22.92144648535218,6.866361843293692,0.7074317326504872,0.7355527884179041,0.6599021346475079,0.7852133301139481
0,Alluvial,0,4,0.6233772621428931,20.464504127199977,7.107544851901438,0.6036044112914297,0.5195154778955838,0.884665661176,0.8645947111260572
0,Alluvial,1,0,0.7616794696232922,23.046137691733705,6.597672114006384,0.8052699079536471,0.6320457481218804,0.6366114704534336,0.799035382022254
0,Alluvial,1,1,0.701983355852559,29.093204020787823,6.758779981600017,0.8463095111209523,0.5935133228268233,0.7560204063533432,0.8378737513575105
0,Alluvial,1,2,0.6957494163343527,29.695846277645586,7.2751328233611146,0.9112389450838805,0.7684482051282947,0.7793699936433256,0.9020084045733975
0,Alluvial,1,3,0.5589199751811366,21.959828624191452,6.545227288910538,0.6682098366143557,0.6166031869068447,0.6814047095321688,0.8481139442616117
0,Alluvial,1,4,0.5762450137092026,22.80934509687381,7.042696083158249,0.594724441677671,0.7406590942262119,0.6223651931039312,0.8688456918312488
0,Alluvial,2,0,0.7544489538593315,21.987156815341724,6.505522117123602,0.8446384285364503,0.7120572031542851,0.8187021504122962,0.8542540693371892
0,Alluvial,2,1,0.7099145819763334,23.584657285442727,6.61586905952513,0.9064838535774358,0.6869894380482674,0.6992694074557948,0.7412433655460593
0,Alluvial,2,2,0.7209749895723797,23.25183322026747,7.229606178338064,0.8206565040211876,0.766163822772898,0.7416644775485848,0.7415524067564344
0,Alluvial,2,3,0.6838704322153517,27.607850486168974,7.061277197569496,0.8019008913717447,0.6481386789093173,0.7568198488145982,0.7678746461029358
0,Alluvial,2,4,0.5099781737193037,21.078914269933044,6.531429185686735,0.7433702975643763,0.594306794322898,0.7525712073494109,0.8529815992963641
